HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P
1.171,0.008584,0.047528,0.05442,0.05442,1633.9,1667.7,1226.0,1264.0,0.008584
0.742,0.01343,0.42222,0.071586,0.038676,1580.5,1675.9,654.0,1473.0,0.14400000000000002
0.407,0.121432,0.394094,0.227852,0.14968199999999998,1629.8,1664.9,353.0,1115.0,0.023196
0.853,0.015435,0.058579,0.104677,0.07496699999999999,1640.8,1656.3,656.0,461.0,0.013575
1.054,0.027458,0.050369,0.074795,0.071873,1666.0,1665.9,551.0,886.0,0.018887
0.417,0.13223800000000002,0.688072,0.117214,0.077044,1551.8,1632.9,457.0,1797.0,0.025189
0.609,0.032025,0.4875310000000001,0.201277,0.075846,1551.8,1664.5,797.0,1892.0,0.015383
0.91,0.026733,0.075454,0.151582,0.077485,1675.6,1666.7,484.0,633.0,0.01264
0.422,0.021126,0.273449,0.100077,0.039295,1573.4,1651.8,878.0,1239.0,0.01118
0.256,0.107311,0.072727,0.16046400000000002,0.066481,1623.8,1683.3,1182.0,689.0,0.015234
0.45,0.017519999999999997,0.371757,0.168174,0.070922,1554.2,1655.0,658.0,1698.0,0.010826
0.256,0.058394000000000015,0.4420060000000001,0.216299,0.097084,1548.7,1662.9,598.0,1666.0,0.014079
0.3670000000000001,0.117523,0.214667,0.179896,0.07875900000000001,1593.6,1617.9,478.0,1295.0,0.01356
0.38,0.015046,0.7185739999999999,0.161728,0.059403,1524.1,1643.0,551.0,2798.0,0.008173999999999999
0.489,0.071483,0.525879,0.286375,0.139736,1611.2,1657.4,525.0,1316.0,0.02292
0.55,0.062025,0.436949,0.16913499999999998,0.074408,1592.6,1633.7,396.0,1446.0,0.013456
0.229,0.02255,0.01744,0.029810000000000007,0.028225,1526.7,1575.4,592.0,2414.0,0.018578
0.38,0.061912,0.264681,0.113587,0.047073,1593.2,1684.4,977.0,1416.0,0.01575
0.526,0.14400000000000002,0.798917,0.117576,0.076915,1565.1,1638.2,456.0,1928.0,0.02068
0.264,0.069415,0.13742200000000002,0.147438,0.098022,1631.8,1672.1,676.0,785.0,0.024674
0.7020000000000001,0.027006,0.436928,0.091483,0.045437,1555.3,1657.9,752.0,1857.0,0.008695
0.882,0.02993,0.331934,0.245491,0.117589,1624.6,1649.0,363.0,1181.0,0.012213
0.34700000000000003,0.116705,0.320002,0.183936,0.08947100000000001,1598.3,1611.2,321.0,1194.0,0.011878
0.545,0.09588,0.415237,0.122331,0.06349500000000001,1605.1,1599.2,382.0,1087.0,0.011112
0.609,0.042326,0.367567,0.190331,0.091123,1630.3,1683.2,657.0,1970.0,0.01975
0.35100000000000003,0.048551,0.25472399999999995,0.079195,0.043754,1589.0,1675.2,862.0,1278.0,0.021114
0.447,0.008564,0.153283,0.032236,0.020513,1527.2,1627.8,832.0,2361.0,0.007537999999999999
0.294,0.012286,0.320741,0.124561,0.06729500000000001,1598.8,1641.5,390.0,1739.0,0.009961
0.664,0.009559,0.317124,0.06449099999999999,0.06449099999999999,1582.0,1657.7,568.0,1681.0,0.009559
0.331,0.009538,0.201813,0.054179,0.036499,1569.0,1659.4,614.0,1673.0,0.008436
0.639,0.120189,0.397151,0.267726,0.114622,1654.1,1652.9,431.0,1165.0,0.016957
0.715,0.008597,0.137924,0.095717,0.060802,1607.4,1646.1,418.0,735.0,0.006531
0.259,0.098274,0.328491,0.154521,0.08494199999999999,1584.0,1693.6,735.0,1431.0,0.019853
0.373,0.066161,0.596986,0.160592,0.081088,1560.2,1652.7,518.0,1658.0,0.016868
0.429,0.057023,0.282385,0.223624,0.121014,1623.9,1647.6,321.0,986.0,0.017683
0.302,0.028395,0.426472,0.094656,0.060228,1609.6,1646.5,498.0,976.0,0.010687
0.6679999999999999,0.016392,0.6092529999999999,0.14711,0.064454,1532.4,1652.7,667.0,2283.0,0.012957
0.429,0.061825,0.582568,0.168188,0.06294,1591.4,1673.7,980.0,2314.0,0.015347
0.234,0.121101,0.222153,0.162368,0.016066,1591.6,1672.1,1719.0,1690.0,0.020593
0.33,0.013782,0.305244,0.124068,0.046053,1560.1,1635.0,591.0,1658.0,0.009791
0.847,0.084274,0.385485,0.218393,0.08644400000000001,1630.9,1654.8,548.0,1215.0,0.018647
0.763,0.088813,0.140779,0.107698,0.050029,1645.4,1626.4,439.0,586.0,0.012421
0.721,0.070384,0.224591,0.079085,0.030773,1621.8,1687.0,870.0,80.0,0.01296
0.5820000000000001,0.075329,0.539449,0.174649,0.118031,1599.9,1660.1,672.0,1485.0,0.030918
0.436,0.079779,0.533239,0.15002200000000002,0.086879,1573.3,1688.7,796.0,1956.0,0.018181
0.506,0.038105,0.413189,0.103706,0.049,1561.5,1643.6,453.0,1469.0,0.011023
0.627,0.081828,0.7532270000000001,0.138724,0.092528,1539.5,1651.2,671.0,1971.0,0.019648
0.41,0.047569,0.209647,0.121965,0.07198099999999999,1638.6,1678.3,864.0,978.0,0.020768
0.368,0.092934,0.961017,0.160223,0.104556,1575.2,1659.7,561.0,1936.0,0.020281
0.606,0.039461,0.226746,0.105265,0.064448,1632.5,1656.0,348.0,757.0,0.019693
0.344,0.088118,0.299825,0.204897,0.08952,1648.0,1689.3,1313.0,1419.0,0.032118
0.63,0.076422,0.486824,0.15825899999999998,0.078251,1589.5,1659.1,727.0,1762.0,0.014304
1.023,0.049946,0.4814229999999999,0.097367,0.068467,1551.1,1660.5,721.0,1806.0,0.01414
0.49,0.070676,0.603184,0.206322,0.101072,1605.5,1665.0,660.0,1607.0,0.019464
0.737,0.130219,0.412965,0.389714,0.15481099999999998,1642.9,1660.1,468.0,1391.0,0.022868
0.442,0.013248,0.121933,0.067438,0.067438,1600.0,1656.9,474.0,664.0,0.013248
0.589,0.028145,0.083925,0.124035,0.060315,1602.1,1677.7,768.0,986.0,0.012833
0.691,0.016522,0.251652,0.143583,0.06057000000000001,1559.4,1658.8,600.0,1754.0,0.010895
0.871,0.053024,0.31502600000000003,0.10713,0.060883000000000013,1600.1,1614.9,487.0,975.0,0.009998
0.547,0.046646,0.769091,0.10359000000000003,0.10359000000000003,1543.4,1650.4,751.0,1903.0,0.046646
0.317,0.125997,0.224476,0.169786,0.091498,1607.2,1637.4,543.0,1059.0,0.024325
0.68,0.055854,0.28891500000000003,0.107819,0.059242,1602.0,1658.5,724.0,1283.0,0.015642
0.477,0.023511,0.394038,0.148554,0.08365,1560.5,1643.5,495.0,1526.0,0.013818
