HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P,,MB_Predictions,JSW_Predictions
0.418,0.010154,0.376009,0.122707,0.056773,1544,1640.4,766,1927,0.011288,,0.011223716,
0.52,0.042433,0.261481,0.122098,0.074179,1590,1669.4,872,1306,0.144,,0.018910604,
0.244,0.026125,0.264871,0.081824,0.029783,1569.2,1678.6,848,1660,0.010562,,0.012524243,
0.378,0.022239,0.154487,0.142796,0.049006,1566.3,1670.4,808,1447,0.010945,,0.013458229,
0.451,0.071173,0.721254,0.153023,0.094106,1556.9,1662.1,587,2092,0.017821,,0.017817815,
0.252,0.020496,0.269961,0.100897,0.061581,1592.1,1665.7,582,1198,0.014377,,0.014241008,
0.812,0.02374,0.17953,0.069353,0.03987,1568.5,1649.9,743,1348,0.010086,,0.012511274,
0.402,0.007877,0.175387,0.06478,0.032124,1570.9,1640.9,619,1343,0.007666,,0.007866124,
0.31,0.065647,0.261386,0.15151,0.095604,1583.1,1644.2,667,1129,0.023925,,0.020023652,
0.674,0.069985,0.44178,0.145102,0.076864,1577.4,1656,709,1835,0.015087,,0.017671044,
0.222,0.031184,0.535445,0.175572,0.071327,1583.8,1652.9,627,1680,0.012911,,0.012990362,
0.461,0.04007,0.262679,0.190958,0.068613,1565.9,1657.9,856,1315,0.015172,,0.015121213,
0.401,0.009004,0.402685,0.550593,0.089935,1571.5,1650.7,460,1389,0.010952,,0.009708829,
0.394,0.090721,0.940984,0.174331,0.092055,1543.5,1654.9,665,2553,0.01564,,0.019398609,
0.468,0.044619,0.067433,0.114994,0.055029,1679.4,1642.3,441,1436,0.010489,,0.01398004,
0.452,0.024755,0.546938,0.099403,0.051056,1548.9,1665.3,779,1888,0.012635,,0.012129682,
0.389,0.010164,0.03296,0.095982,0.095982,1569.7,1645.7,791,1363,0.010164,,0.015793014,
0.61,0.008048,0.13607,0.099113,0.05234,1562,1659.8,690,1665,0.013839,,0.011187402,
0.586,0.004003,0.202279,0.072385,0.035316,1537.3,1647.2,775,1820,0.006487,,0.008384699,
0.539,0.040806,0.329474,0.075601,0.024302,1590.9,1703.8,891,2152,0.012478,,0.012387592,
0.471,0.06605,0.505393,0.134143,0.078284,1591.4,1652.8,423,1252,0.021511,,0.016889706,
0.218,0.087339,0.432182,0.068778,0.022616,1537.1,1696.1,1147,2247,0.015766,,0.01616456,
0.253,0.115752,0.133889,0.114227,0.056555,1606.1,1622.6,589,953,0.024131,,0.019443173,
1.075,0.040839,0.688364,0.096839,0.059712,1530.5,1636.4,756,2072,0.014221,,0.012552862,
0.455,0.041953,0.425563,0.153231,0.081248,1597.4,1649.5,567,1421,0.013528,,0.014810127,
0.446,0.120761,0.282234,0.092304,0.053685,1624.8,1655.6,865,1163,0.020498,,0.025192411,
0.545,0.09965,0.663135,0.097846,0.048169,1596.8,1677.3,955,1804,0.024962,,0.021297881,
0.522,0.071327,0.602403,0.142134,0.076436,1546.2,1660.8,680,1995,0.016993,,0.017298897,
0.138,0.013203,0.215399,0.170023,0.074787,1561.9,1649.3,710,1595,0.015881,,0.014602249,
0.294,0.058969,0.336181,0.236765,0.10541,1626.4,1662.4,441,1097,0.023303,,0.016239301,
0.248,0.075629,0.476074,0.241317,0.112868,1585.6,1669.8,578,1584,0.021904,,0.021033001,
0.493,0.047137,0.717817,0.060666,0.039423,1524.2,1671.8,801,2092,0.013553,,0.01396135,
0.372,0.011827,0.385807,0.109205,0.109205,1553.8,1609.5,375,1670,0.011827,,0.011435464,
0.342,0.044454,0.319394,0.188421,0.079116,1595.3,1645.5,580,1312,0.014264,,0.014772031,
0.46,0.050834,0.58074,0.098159,0.069107,1535,1635.2,616,1852,0.013345,,0.014283626,
0.514,0.029656,0.299395,0.093748,0.034334,1560.7,1681.6,1214,1785,0.011502,,0.014050511,
0.495,0.027647,0.27108,0.100434,0.066686,1596.5,1641.2,354,1073,0.01268,,0.012104769,
0.51,0.084512,0.549252,0.193358,0.103579,1609.4,1671.5,623,1763,0.018907,,0.020960985,
0.821,0.099602,0.694155,0.131547,0.07226,1623.4,1667.6,640,1729,0.017153,,0.017301359,
0.427,0.056752,0.128904,0.12189,0.07641,1655.4,1679.4,657,645,0.025984,,0.02013998,
0.236,0.050326,0.485247,0.287467,0.115273,1568.7,1656.8,457,1673,0.016557,,0.016008027,
0.719,0.006204,0.170414,0.045816,0.039777,1572.7,1606.8,350,1404,0.007981,,0.006509188,
0.473,0.018119,0.280529,0.151242,0.08268,1612.6,1654.3,356,1064,0.010712,,0.012467751,
0.514,0.014599,0.08549,0.084311,0.044334,1601.7,1667.1,670,1122,0.009141,,0.011169832,
0.493,0.067874,0.256705,0.086321,0.206535,1577.5,1664.3,1026,1444,0.144,,0.060435512,
0.153,0.045226,0.898625,0.150347,0.045271,1493.9,1615.3,574,2680,0.009889,,0.010814494,
0.44,0.116069,0.256572,0.077812,0.030471,1555.5,1647.3,935,1831,0.014724,,0.016466112,
0.391,0.013832,0.092291,0.091724,0.034846,1616.9,1676.2,845,1247,0.00906,,0.010896701,
0.387,0.040708,0.574398,0.214225,0.066536,1569.8,1642.1,590,2026,0.012415,,0.010829533,
0.455,0.079941,0.468748,0.210548,0.108199,1577.6,1666.6,868,1626,0.02557,,0.025917857,
0.336,0.028276,0.372601,0.060194,0.026612,1605.7,1681.6,1062,1893,0.013896,,0.013606661,
1.119,0.041291,0.679734,0.093502,0.060523,1540.4,1647.8,493,1753,0.011609,,0.010573081,
0.385,0.05299,0.54792,0.120702,0.059408,1566.6,1597.3,531,2050,0.016915,,0.012831463,
0.394,0.06033,0.639087,0.096162,0.044434,1571.4,1651.8,540,1727,0.014408,,0.01060312,
0.775,0.054331,0.66096,0.241095,0.110092,1617.5,1662.3,392,1913,0.015381,,0.014096214,
0.435,0.070263,0.135636,0.066674,0.020321,1604.5,1640.2,720,1139,0.010773,,0.011516622,
0.373,0.00938,0.129681,0.086182,0.051774,1567.4,1645.3,787,1786,0.01302,,0.011137125,
0.602,0.082612,0.46865,0.090399,0.037894,1630.7,1674,877,1775,0.011919,,0.015703808,
0.425,0.088767,0.665213,0.207155,0.100559,1583.2,1697.5,971,1936,0.029254,,0.026671198,
0.562,0.066585,0.412315,0.209867,0.129096,1606.6,1660.4,424,1173,0.021165,,0.019692279,
