fileName,date,time_line,input_current,input_current_min,input_current_max,input_current_stddev,current_data_1,current_data_2,current_data_3,current_data_4,current_data_5,current_data_6,current_data_7,current_data_8,current_data_9,current_data_10,current_data_min_1,current_data_min_2,current_data_min_3,current_data_min_4,current_data_min_5,current_data_min_6,current_data_min_7,current_data_min_8,current_data_min_9,current_data_min_10,current_data_max_1,current_data_max_2,current_data_max_3,current_data_max_4,current_data_max_5,current_data_max_6,current_data_max_7,current_data_max_8,current_data_max_9,current_data_max_10,current_data_stddev_1,current_data_stddev_2,current_data_stddev_3,current_data_stddev_4,current_data_stddev_5,current_data_stddev_6,current_data_stddev_7,current_data_stddev_8,current_data_stddev_9,current_data_stddev_10,channel_fault_1,channel_fault_2,channel_fault_3,channel_fault_4,channel_fault_5,channel_fault_6,channel_fault_7,channel_fault_8,channel_fault_9,channel_fault_10,temp_1,temp_2,flow,speed,accel,creep,peakI,kph,current,motor_dc_vlt,motor_dc_cur,heat_sink_temp,motor_fault_cnt_1,motor_fault_cnt_2,motor_fault_cnt_3,motor_fault_cnt_4,motor_fault_cnt_5,motor_fault_cnt_6,motor_fault_cnt_7,motor_fault_cnt_8,eng_sensor_1,eng_sensor_2,eng_sensor_3,eng_sensor_4,eng_sensor_5,eng_sensor_6,eng_sensor_7,eng_sensor_8,eng_sensor_9,eng_sensor_10,eng_sensor_11,eng_sensor_12,eng_sensor_13
17218_09_41_22eng.log,Aug-6-2017,09:41:31,2.44,1.16,6.19,1.84,0.46,0.40,1.59,0.70,0.66,0.00,0.37,2.94,0.00,1.61,0.36,0.32,0.00,0.01,0.36,0.00,0.24,2.47,0.00,1.52,0.78,0.47,6.89,2.84,0.80,0.00,0.43,5.02,0.01,1.65,0.11,0.05,2.58,1.06,0.12,0.00,0.05,0.74,0.01,0.04,0,0,0,0,0,0,0,0,0,0,18.89,18.21,139.71,0,5400,0,150,-0.0,10,172,0.0,20.5,00,00,00,00,00,00,00,00,26.2,25.1,26.4,19.4,19.7,22.2,21.5,24.2,23.8,23.5,21.5,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:41:41,1.31,1.21,1.52,0.09,0.43,0.37,0.00,0.06,0.73,0.00,0.38,2.57,0.00,1.63,0.40,0.33,0.00,0.01,0.59,0.00,0.35,2.42,0.00,1.61,0.45,0.42,0.00,0.14,0.96,0.00,0.45,2.74,0.00,1.69,0.02,0.03,0.00,0.04,0.12,0.00,0.03,0.08,0.00,0.02,0,0,0,0,0,0,0,0,0,0,18.79,18.31,139.71,0,5400,0,150,-0.0,7,172,0.0,20.4,00,00,00,00,00,00,00,00,26.1,25.0,26.4,19.5,19.7,22.1,21.5,23.8,23.6,23.5,21.2,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:41:51,1.25,1.16,1.44,0.09,0.45,0.34,0.00,0.06,0.62,0.00,0.35,2.60,0.00,1.64,0.36,0.21,0.00,0.02,0.34,0.00,0.24,2.43,0.00,1.61,0.54,0.39,0.00,0.12,1.04,0.00,0.45,3.04,0.00,1.69,0.05,0.05,0.00,0.03,0.21,0.00,0.05,0.16,0.00,0.02,0,0,0,0,0,0,0,0,0,0,18.74,18.40,139.71,0,5400,0,150,-0.0,9,172,0.0,20.2,00,00,00,00,00,00,00,00,26.3,25.2,26.4,19.4,19.7,22.0,21.4,24.0,24.2,23.5,21.9,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:42:01,1.30,1.11,1.45,0.10,0.46,0.36,0.01,0.05,0.70,0.00,0.34,2.65,0.00,1.64,0.41,0.29,0.00,0.01,0.33,0.00,0.21,2.45,0.00,1.60,0.54,0.40,0.07,0.12,0.89,0.00,0.45,3.07,0.01,1.69,0.04,0.03,0.02,0.04,0.16,0.00,0.06,0.21,0.01,0.03,0,0,0,0,0,0,0,0,0,0,18.79,18.45,139.71,0,5400,0,150,-0.0,9,172,0.0,20.2,00,00,00,00,00,00,00,00,26.4,25.2,26.4,19.4,19.7,22.1,21.4,23.8,23.9,23.5,21.6,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:42:11,1.32,1.16,1.85,0.20,0.47,0.36,0.00,0.07,0.69,0.00,0.37,2.88,0.00,1.63,0.35,0.30,0.00,0.01,0.41,0.00,0.29,2.45,0.00,1.60,0.80,0.50,0.01,0.15,1.08,0.00,0.50,5.00,0.00,1.65,0.12,0.05,0.00,0.05,0.21,0.00,0.06,0.74,0.00,0.02,0,0,0,0,0,0,0,0,0,0,18.65,18.21,139.71,0,5400,0,150,-0.0,9,172,0.0,20.0,00,00,00,00,00,00,00,00,26.3,25.2,26.3,19.4,19.7,22.1,21.5,23.8,23.9,23.5,21.8,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:42:21,1.30,1.14,1.41,0.07,0.44,0.37,0.00,0.05,0.70,0.00,0.37,2.67,0.00,1.64,0.36,0.28,0.00,0.01,0.35,0.00,0.34,2.47,0.00,1.58,0.49,0.40,0.00,0.08,0.99,0.00,0.40,2.92,0.00,1.72,0.04,0.04,0.00,0.02,0.18,0.00,0.02,0.17,0.00,0.04,0,0,0,0,0,0,0,0,0,0,18.79,18.40,139.71,0,5400,0,150,-0.0,2,172,0.0,20.0,00,00,00,00,00,00,00,00,26.1,25.2,26.4,19.4,19.7,22.1,21.5,23.8,24.0,23.5,21.3,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:42:31,1.25,1.10,1.38,0.10,0.42,0.35,0.00,0.04,0.67,0.00,0.33,2.55,0.00,1.63,0.36,0.29,0.00,0.01,0.45,0.00,0.24,2.46,0.00,1.60,0.47,0.40,0.00,0.14,0.89,0.00,0.39,2.67,0.00,1.72,0.03,0.03,0.00,0.04,0.16,0.00,0.05,0.07,0.00,0.04,0,0,0,0,0,0,0,0,0,0,18.65,18.16,139.71,0,5400,0,4,6.4,7,378,0.0,19.7,00,00,00,00,00,00,00,00,26.3,25.2,26.4,19.5,19.6,22.1,21.4,23.8,23.9,23.5,21.9,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:42:41,1.28,1.16,1.42,0.09,0.47,0.33,0.00,0.04,0.69,0.00,0.35,2.72,0.00,1.62,0.35,0.15,0.00,0.00,0.47,0.00,0.29,2.49,0.00,1.60,0.69,0.39,0.00,0.12,0.84,0.00,0.39,3.38,0.00,1.64,0.09,0.06,0.00,0.04,0.13,0.00,0.02,0.28,0.00,0.01,0,0,0,0,0,0,0,0,0,0,18.69,18.16,139.71,0,5400,0,4,10.3,8,372,0.0,19.7,00,00,00,00,00,00,00,00,26.2,25.1,26.4,19.6,20.5,22.1,21.4,23.9,24.0,23.5,21.4,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:42:51,1.25,1.01,1.44,0.12,0.41,0.39,0.00,0.04,0.59,0.00,0.39,2.76,0.00,1.61,0.33,0.34,0.00,0.00,0.21,0.00,0.33,2.42,0.00,1.58,0.57,0.47,0.00,0.12,0.90,0.00,0.47,3.69,0.01,1.64,0.06,0.04,0.00,0.04,0.22,0.00,0.04,0.42,0.00,0.02,0,0,0,0,0,0,0,0,0,0,18.99,18.21,139.71,0,5400,0,12,10.6,9,350,0.0,19.8,00,00,00,00,00,00,00,00,26.2,25.2,26.3,19.4,18.3,22.2,21.4,23.8,23.9,23.5,21.4,26.3,33.9
17218_09_41_22eng.log,Aug-6-2017,09:43:01,1.26,1.07,1.41,0.10,0.43,0.39,0.00,0.04,0.62,0.00,0.36,2.69,0.00,1.62,0.39,0.35,0.00,0.00,0.28,0.00,0.32,2.36,0.00,1.58,0.52,0.42,0.00,0.12,0.89,0.00,0.39,3.21,0.00,1.64,0.04,0.02,0.00,0.04,0.19,0.00,0.02,0.26,0.00,0.01,0,0,0,0,0,0,0,0,0,0,18.65,18.16,139.71,0,5400,0,12,-0.0,3,172,0.0,20.0,00,00,00,00,00,00,00,00,26.3,25.2,26.3,19.3,19.7,22.1,21.5,23.8,23.9,23.4,21.7,26.3,33.9
